Date,r_label,c_label
2011-12-21,0.00012997359356640287,0.5
2011-12-22,0.00013200219528583813,1.0
2011-12-23,0.00013452907611036385,1.0
2011-12-26,0.0001363797422196677,1.0
2011-12-27,0.00014050813687308293,1.0
2011-12-28,0.00013979634352108083,0.5
2011-12-29,0.00014271470814363388,1.0
2011-12-30,0.00017720112404944692,1.0
2012-01-02,0.0001652429855535166,0.0
2012-01-03,0.0001899066430194056,1.0
2012-01-04,0.00023880689551637602,1.0
2012-01-05,0.0002298738830090776,0.0
2012-01-06,0.00021667009341927454,0.0
2012-01-09,0.00021788015739112102,1.0
2012-01-10,0.00023709859486566943,1.0
2012-01-11,0.00023353961113516686,0.0
2012-01-12,0.00021965963228588015,0.0
2012-01-13,0.00022937562935972536,1.0
2012-01-16,0.00019083197607405752,0.0
2012-01-17,0.000202220686676583,1.0
2012-01-18,0.00021788015739112102,1.0
2012-01-19,0.00022250680569388848,1.0
2012-01-20,0.00021773779193252373,0.0
2012-01-23,0.00021538887217386764,0.5
2012-01-24,0.00019617043469931923,0.0
2012-01-25,0.00018157866249803042,0.0
2012-01-26,0.00017987036184732383,0.5
2012-01-27,0.00018691710415279998,1.0
2012-01-30,0.00018670356445015014,0.5
2012-01-31,0.00020777268500449456,1.0
2012-02-01,0.00020862682684460177,1.0
2012-02-02,0.0002036086862585609,0.0
2012-02-03,0.0001856002957853668,0.0
2012-02-06,0.00019403505464331297,1.0
2012-02-07,0.00019083197607405752,0.0
2012-02-08,0.0001990176250778197,1.0
2012-02-09,0.00020197154288141474,1.0
2012-02-10,0.00017873148909002207,0.0
2012-02-13,0.00015036648243503325,0.0
2012-02-14,0.0001454551201855634,0.0
2012-02-15,0.0001436400411982858,0.5
2012-02-16,0.00014848024617419527,1.0
2012-02-17,0.00014673634143097026,0.5
2012-02-20,0.0001435688499837411,0.0
2012-02-21,0.0001490140869455738,1.0
2012-02-22,0.00017001199931488136,1.0
2012-02-23,0.00017051026993472574,1.0
2012-02-24,0.0001679122063809014,0.0
2012-02-27,0.00016478031902619064,0.0
2012-02-28,0.00016449560507948824,0.5
2012-02-29,0.00016666657225752077,1.0
2012-03-01,0.00015897919387360297,0.0
2012-03-02,0.00016890873065009802,1.0
2012-03-05,0.00016912227035274788,0.5
2012-03-06,0.00016727160424344402,0.5
2012-03-07,0.00016698687332624947,0.5
2012-03-08,0.00016453119220151454,0.0
2012-03-09,0.0001655632866222453,1.0
2012-03-12,0.00017908737728077704,1.0
2012-03-13,0.00018300223223154243,1.0
2012-03-14,0.00018111599597070446,0.5
2012-03-15,0.00018172102795662769,1.0
2012-03-16,0.00015858770159032958,0.0
2012-03-19,0.00016371262051294145,1.0
2012-03-20,0.00016289406579486052,0.5
