Date,shangai,btc,crude oil,dax,euro,gold,silver,spy,ftse,hsi,nasdaq,nikkei,rates,MA4,MA96,MA200,stochRSI,RSI,btc_std_dev,std_dif,conf_int,hashrate,difficulty,transactions,t_cost
2015-07-20,1.612699525135993,3452.7351288987356,0.6552129726419339,1.0871287430867103,0.8369938908662243,0.9365321121274289,0.8409375813810362,1.9814520880214075,1.318629538460725,1.2644903070665179,2.374119136601165,2.194954184386169,0.8002699020593541,281.0,248.0,279.0,2.308269208338926,60.561337559286905,3012.77278721456,439.9623416841755,9.739438137825928,365618.871453,51076366303.5,76946238.0,8.99321273568
2015-07-21,1.6230270380944507,3413.7749821296693,0.6579566240916433,1.08554454841236,0.8373929915813902,0.9337395870413949,0.8423063601710241,1.9736228743880515,1.3148224373982724,1.2710414729269226,2.3692335030736573,2.2152606750084454,0.789473658809017,278.0,248.0,278.0,0.0,54.73562908069096,3011.816816400032,401.95816572963713,8.894735721117053,355462.791691,51076366303.5,77069605.0,7.97787220245
2015-07-22,1.626408229976671,3430.965292833646,0.6426704734560581,1.074851460976175,0.8454730306217687,0.9235847249817835,0.839169579976469,1.970081026316751,1.2950488622704095,1.2584083940160402,2.352697427240273,2.1888691708598227,0.7834008222545259,278.0,248.0,277.0,7.373239460941101,56.87188457229448,3010.867196055577,420.0980967780688,9.292591134325885,373235.931275,51076366303.5,77217125.0,6.96860195228
2015-07-23,1.6659481440774533,3416.4482918621197,0.6330023541077682,1.0770296908841266,0.8444752788338536,0.9257849244345796,0.8374015785719016,1.9589895692261394,1.292659761954942,1.26419360941251,2.3411609349230122,2.1984648170193584,0.7682186102111218,277.0,247.0,277.0,0.0,54.38346706936643,3009.9137805791456,406.5345112829741,8.98912838297314,378313.971157,51076366303.5,77328707.0,9.2996777258
2015-07-24,1.6445316275522885,3567.7973560027694,0.6289521663682469,1.0582177945882958,0.8492636582592352,0.9186765003327318,0.8256530118028439,1.9386708754319468,1.278052960065893,1.2507378069610406,2.3148760266327617,2.183646090199244,0.766194304546919,279.0,247.0,276.0,53.7907613481142,70.1577447553408,3009.0121432738442,558.7852127289252,12.350918157831025,426555.350029,51076366303.5,77438559.0,11.0445681462
2015-07-27,1.505020058536445,3633.9604499560696,0.6191533684713442,1.0459405880163202,0.8479777284849307,0.9279005206969986,0.8323257404165318,1.9273929678586226,1.2635433724612168,1.2120861325344148,2.2926535576052793,2.1629804608828977,0.751686887870955,284.0,247.0,276.0,68.35523915175762,74.42881494412399,3008.135293343387,625.8251566126828,13.82743602679715,402809.137596,52278304845.6,77745578.0,10.2022414242
2015-07-28,1.4797491430395144,3643.898680952109,0.6268617581438115,1.059009891925471,0.8570715496743596,0.9277313143162446,0.8344359093235951,1.9510672014614512,1.2732941074486284,1.2196506589273821,2.3151399108169253,2.1607261908950908,0.7591093151603263,288.0,247.0,275.0,70.4283634047416,75.03676390830506,3007.262816513434,636.6358644386751,14.060934012788403,369025.145411,52278304845.6,77862990.0,8.99459578237
2015-07-29,1.5307166434369768,3584.034747738821,0.6374444778146012,1.0562376267839177,0.855212580553718,0.9246847730578821,0.8403102470981259,1.964488791815803,1.287998028778846,1.225400002294255,2.3253845256804015,2.157964767248548,0.7688934055785619,291.0,247.0,275.0,34.22754141074064,64.420780711891,3006.369084755809,577.6656629830118,12.753640689277114,387216.525818,52278304845.6,77999185.0,8.02976173868
2015-07-30,1.497024653714585,3560.915792944667,0.6339169045910047,1.0495049504950487,0.8488812328047907,0.9210460094668805,0.8378578562985646,1.9649548469125608,1.29535966345079,1.2193540584875464,2.3331406771472576,2.181339713961604,0.7651821517148175,291.0,248.0,275.0,20.995268881544785,60.54038311087538,3005.467855084375,555.4479378602919,12.25845291160586,356031.302263,52278304845.6,78132882.0,7.43973342708
2015-07-31,1.4800416674721097,3522.8961012806867,0.6156257952477475,1.0594059405940586,0.8454175692573804,0.9265465597491701,0.8409946364931198,1.9619722080693502,1.3006817898581922,1.2262376968173836,2.332913221419494,2.1879731924762353,0.7439271031169222,289.0,248.0,274.0,0.0,54.294357622900186,3004.5541665286814,518.3419347520053,11.435191870498272,361228.839522,52278304845.6,78266522.0,7.48176129901
