Date,shangai,btc,crude oil,dax,euro,gold,silver,spy,ftse,hsi,nasdaq,nikkei,rates,MA4,MA96,MA200,stochRSI,RSI,btc_std_dev,std_dif,conf_int,hashrate,difficulty,transactions,t_cost
2014-10-24,0.10952457473253735,0.018744979095758927,0.7827923075306423,0.47547979145700536,0.5082616378948092,0.18027371954250093,0.14657114239851562,0.36123098238174345,0.49241425279786605,0.41717886964555356,0.23834161839203233,0.4258813280603294,0.5499070206310614,0.020891834213186567,0.044661549197487785,0.054948422020222654,0.3251389313495605,0.35693123987100595,0.06558014809895812,0.005711686269171641,0.007525994590571437,0.001831025885276732,0.0017995217009886078,0.08473756592826977,0.11100946920262526
2014-10-27,0.10584243153679782,0.018464768614444467,0.7827263129665104,0.46561072865369896,0.513340410531001,0.1781752128088108,0.14600125153416899,0.360161591942453,0.48382259398177685,0.4077745780015911,0.2385638945653648,0.4316786834025798,0.544947307995669,0.020386386611254633,0.0444870900209351,0.05464201817996119,0.0,0.3259083677019948,0.0655674191010264,0.00540712581435191,0.007121483251997575,0.0016737598574492714,0.0017995217009886078,0.08512070397287032,0.10282241119266891
2014-10-28,0.12059028454346145,0.018706944999374933,0.7854974805908156,0.4949741389537542,0.5189079487850747,0.17827511846566663,0.1479008877486578,0.3690735415646988,0.4970168914908947,0.4300848133261035,0.24644526941568995,0.4281667375614606,0.5533167907343131,0.02004942154330001,0.04422540125610607,0.054335614339699724,0.185898375366169,0.38167228958971666,0.06555548165574547,0.005675543934486679,0.0074716712991528735,0.0016849931451548212,0.0017995217009886078,0.0852721730184886,0.09323582853571404
2014-10-29,0.13152164003958908,0.017554551155187514,0.7906439491328404,0.5047213127021283,0.5271910002885509,0.173378643415366,0.14882358298461093,0.3678852695274607,0.5146431931205465,0.44780324657888,0.24493054029193959,0.4415434016695385,0.5654060764258333,0.019712456475345388,0.04396371249127704,0.05402921049943826,0.0,0.2653643276670391,0.06553989420619458,0.004414679779704975,0.005809122994583289,0.0016175934189466405,0.0017995217009886078,0.08542649364839688,0.08504057810204184
2014-10-30,0.13713233695060126,0.018062761850590633,0.7835180967187847,0.4876637005447352,0.5034880091821582,0.14719689611788103,0.12635352638865097,0.37291558690355336,0.5179503408446393,0.4408326412295998,0.2466313508166526,0.44777131605506265,0.5598264459018465,0.019543973941368076,0.04378925331472436,0.053722806659176794,0.2950377530304438,0.37172955811925096,0.06552585589293966,0.004975464180041515,0.006544148191520032,0.001943358762288273,0.0017995217009886078,0.08558606269783166,0.09689211886978821
2014-10-31,0.14618053075419538,0.01769737938935423,0.7796912174247805,0.5095948995763158,0.49912284505487786,0.12021578158061975,0.11783223453353796,0.3819463576857202,0.5462139184872815,0.4583447143379384,0.2531287790110984,0.4928912561698572,0.5691258793787095,0.019319330562731662,0.04352756454989532,0.05341640281891533,0.1892457038532839,0.33359004690361604,0.06551069171201665,0.0045780055419462505,0.0060186662146072736,0.0021118580778150035,0.0017995217009886078,0.08573661198784563,0.11285660539954509
2014-11-03,0.14953620055561903,0.017134078168565763,0.7680786407536072,0.5278708213056483,0.47437058712367863,0.11851701945928222,0.12049172523382229,0.3823820554181066,0.5262691508174889,0.4534884338951953,0.2539505034768959,0.4928912561698572,0.5731556412758829,0.018926204650117937,0.04326587578506629,0.053109998978653865,0.048860082727818076,0.28120718458666066,0.06549388446646169,0.003963764566746487,0.005208766558678379,0.0017411595836637314,0.0017995217009886078,0.08613818788410524,0.09266944854075201
2014-11-04,0.14946348223156536,0.01728778720060238,0.7575877703162648,0.4943649260700464,0.47275680404032244,0.11651841838244806,0.11376157810803272,0.3796094609565687,0.5146773200350454,0.44932899445531166,0.25241465664335044,0.5196870396187779,0.5712957397994448,0.018813882960799732,0.04300418702023726,0.052803595138392403,0.18395083130072398,0.3168789319519362,0.06547751786795411,0.004136120596301562,0.005432847910998797,0.001842259172976002,0.0017995217009886078,0.08629271024479661,0.09258224767094135
2014-11-05,0.14624831516273393,0.017758327823380028,0.7674188461295969,0.5028936740510049,0.4854714018579548,0.09453380653727225,0.09994845360424484,0.38463971789463514,0.5436910239056534,0.44045285075100615,0.2521209731443384,0.5241568524903413,0.5737755591644772,0.018757722116140626,0.04282972784368458,0.052497191298130935,0.5465409885685585,0.4184206773040681,0.06546253655403902,0.004655787392765067,0.006112747897920868,0.0019780306655936175,0.0019804470996690137,0.08644528880972198,0.09510571202486762
2014-11-06,0.14793131169813845,0.018271246878712472,0.7623383721517041,0.49802008717681767,0.4691850141142475,0.0914359992651651,0.09924287074163438,0.38784801008855946,0.5478163852139558,0.4377133216218737,0.25390625450823207,0.5155074152612777,0.5815251240145268,0.018926204650117937,0.042655268667131895,0.052190787457869474,0.8686455032390974,0.5086246002453304,0.06544913894714778,0.005221592605424666,0.0068525964736779466,0.001792590289748329,0.0019804470996690137,0.0865997342391825,0.08666315916353051
